stationcode,name,arrdt,lat,lon,ts_hour,bikes_mean,bikes_median,docks_mean
13009,Auguste Blanqui - Corvisart,Paris,48.8300989,2.3502726,2025-08-20 15:00:00+00:00,4.0,4.0,22.0
13010,Place d'Italie - Vincent Auriol,Paris,48.831481874467,2.3567550292319,2025-08-20 15:00:00+00:00,11.0,11.0,27.0
13011,Hôpital - Campo-Formio,Paris,48.835405,2.358218,2025-08-20 15:00:00+00:00,2.0,2.0,9.0
13013,Saint-Marcel - Hôpital,Paris,48.839504424583,2.3609894170229,2025-08-20 15:00:00+00:00,4.0,4.0,15.0
13015,Chevaleret - Louise Weiss,Paris,48.832586513351,2.37121138812,2025-08-20 15:00:00+00:00,34.0,34.0,1.0
13016,Primo Levi - Frigos,Paris,48.83094844846017,2.37965351592796,2025-08-20 15:00:00+00:00,34.0,34.0,0.0
13017,Nationale - Vincent Auriol,Paris,48.83252708397293,2.362354410392119,2025-08-20 15:00:00+00:00,6.0,6.0,28.0
13018,Bruant - Vincent Auriol,Paris,48.834848452929,2.3668264996271,2025-08-20 15:00:00+00:00,17.0,17.0,8.0
13019,Fernand Braudel - Vincent Auriol,Paris,48.83637852318147,2.3723404482007027,2025-08-20 15:00:00+00:00,35.0,35.0,1.0
13020,Paul Klee - Place Augusta Holmes,Paris,48.838946417408025,2.3704235663952966,2025-08-20 15:00:00+00:00,18.0,18.0,25.0
13022,Butte aux Cailles - Esperance,Paris,48.82758774190948,2.3492151126265526,2025-08-20 15:00:00+00:00,6.0,6.0,26.0
13023,Bobillot - Moulin des Prés,Paris,48.828657346203,2.353020646317,2025-08-20 15:00:00+00:00,4.0,4.0,23.0
13024,Bobillot - Tolbiac,Paris,48.8255961335041,2.350204177200794,2025-08-20 15:00:00+00:00,5.0,5.0,28.0
13026,Place Jean Delay,Paris,48.823316,2.354336,2025-08-20 15:00:00+00:00,4.0,4.0,30.0
13027,Mazagran - Pierre de Coubertin,Paris,48.816218640260445,2.344226874411106,2025-08-20 15:00:00+00:00,11.0,11.0,3.0
13028,Gouthière - Poterne des Peupliers,Paris,48.820507,2.351342,2025-08-20 15:00:00+00:00,16.0,16.0,16.0
13030,Italie - Tolbiac,Paris,48.82557229464416,2.357617132365704,2025-08-20 15:00:00+00:00,3.0,3.0,17.0
13032,Italie - Jardin Joan Miro,Paris,48.81990914045756,2.35929485410452,2025-08-20 15:00:00+00:00,13.0,13.0,13.0
13033,Porte d'Italie,Paris,48.81716198771896,2.360236309468746,2025-08-20 15:00:00+00:00,2.0,2.0,10.0
13035,Choisy - Tolbiac,Paris,48.82591155587,2.3602393269539,2025-08-20 15:00:00+00:00,10.0,10.0,10.0
13036,Olympiades,Paris,48.826764665199,2.3650860786438,2025-08-20 15:00:00+00:00,23.0,23.0,13.0
13037,Ivry - Baudricourt,Paris,48.824695995415006,2.363106073577468,2025-08-20 15:00:00+00:00,8.0,8.0,12.0
13039,Ivry - Simone Weil,Paris,48.82328393203076,2.3659095168113717,2025-08-20 15:00:00+00:00,4.0,4.0,14.0
